lot,ID,Version,Flags,Serial Number,Name,PID
cgk-hsn-a,201,n9000-13.2(1m),asiv,FGE240369WT,spine-cgk-hsn-a1,N9K-SUP-A+
cgk-hsn-a,202,n9000-13.2(1m),asiv,FGE240369LB,spine-cgk-hsn-a2,N9K-SUP-A+
cgk-hsn-a,203,n9000-13.2(1m),asiv,FGE240769Y8,spine-cgk-hsn-a3,N9K-SUP-A+
cgk-hsn-a,301,n9000-13.2(1m),aliv,FDO2332133E,bleaf-cgk-hsn-a1,N9K-C93180YC-FX
cgk-hsn-a,302,n9000-13.2(1m),aliv,FDO23341A9V,bleaf-cgk-hsn-a2,N9K-C93180YC-FX
cgk-hsn-a,303,n9000-13.2(1m),aliv,FDO23341AB7,bleaf-cgk-hsn-a3,N9K-C93180YC-FX
cgk-hsn-a,304,n9000-13.2(1m),aliv,FDO233419UE,bleaf-cgk-hsn-a4,N9K-C93180YC-FX
cgk-hsn-a,1010,n9000-13.2(1m),aliv,FDO24200HG0,aleaf-cgk-hsn-a01-0,N9K-C93108TC-FX
cgk-hsn-a,1011,n9000-13.2(1m),aliv,FDO24200HEU,aleaf-cgk-hsn-a01-1,N9K-C93108TC-FX
cgk-hsn-a,1020,n9000-13.2(1m),aliv,FDO24200HGP,aleaf-cgk-hsn-a02-0,N9K-C93108TC-FX
cgk-hsn-a,1021,n9000-13.2(1m),aliv,FDO24200HDZ,aleaf-cgk-hsn-a02-1,N9K-C93108TC-FX
cgk-hsn-a,1030,n9000-13.2(1m),aliv,FDO24200HKU,aleaf-cgk-hsn-a03-0,N9K-C93108TC-FX
cgk-hsn-a,1031,n9000-13.2(1m),aliv,FDO24200HFD,aleaf-cgk-hsn-a03-1,N9K-C93108TC-FX
cgk-hsn-a,1040,n9000-13.2(1m),aliv,FDO240307E5,aleaf-cgk-hsn-a04-0,N9K-C93108TC-FX
cgk-hsn-a,1041,n9000-13.2(1m),aliv,FDO24200HKV,aleaf-cgk-hsn-a04-1,N9K-C93108TC-FX
cgk-hsn-a,1050,n9000-13.2(1m),aliv,FDO24191CHD,aleaf-cgk-hsn-a05-0,N9K-C93108TC-FX
cgk-hsn-a,1051,n9000-13.2(1m),aliv,FDO24200HGL,aleaf-cgk-hsn-a05-1,N9K-C93108TC-FX
cgk-hsn-a,1060,n9000-13.2(1m),aliv,FDO24200HG3,aleaf-cgk-hsn-a06-0,N9K-C93108TC-FX
cgk-hsn-a,1061,n9000-13.2(1m),aliv,FDO24200HH8,aleaf-cgk-hsn-a06-1,N9K-C93108TC-FX
cgk-hsn-a,1070,n9000-13.2(1m),aliv,FDO24200HG4,aleaf-cgk-hsn-a07-0,N9K-C93108TC-FX
cgk-hsn-a,1071,n9000-13.2(1m),aliv,FDO24180WPW,aleaf-cgk-hsn-a07-1,N9K-C93108TC-FX
cgk-hsn-a,1080,n9000-13.2(1m),aliv,FDO24200HEC,aleaf-cgk-hsn-a08-0,N9K-C93108TC-FX
cgk-hsn-a,1081,n9000-13.2(1m),aliv,FDO24200HJW,aleaf-cgk-hsn-a08-1,N9K-C93108TC-FX
cgk-hsn-a,1090,n9000-13.2(1m),aliv,FDO24200HHH,aleaf-cgk-hsn-a09-0,N9K-C93108TC-FX
cgk-hsn-a,1091,n9000-13.2(1m),aliv,FDO24200HJE,aleaf-cgk-hsn-a09-1,N9K-C93108TC-FX
cgk-hsn-a,1100,n9000-13.2(1m),aliv,FDO24200HK1,aleaf-cgk-hsn-a10-0,N9K-C93108TC-FX
cgk-hsn-a,1101,n9000-13.2(1m),aliv,FDO24200HG5,aleaf-cgk-hsn-a10-1,N9K-C93108TC-FX
cgk-hsn-a,1110,n9000-13.2(1m),aliv,FDO24200HFG,aleaf-cgk-hsn-a11-0,N9K-C93108TC-FX
cgk-hsn-a,1111,n9000-13.2(1m),aliv,FDO24200HEA,aleaf-cgk-hsn-a11-1,N9K-C93108TC-FX
cgk-hsn-a,1120,n9000-13.2(1m),aliv,FDO24200HFC,aleaf-cgk-hsn-a12-0,N9K-C93108TC-FX
cgk-hsn-a,1121,n9000-13.2(1m),aliv,FDO24200HFW,aleaf-cgk-hsn-a12-1,N9K-C93108TC-FX
cgk-hsn-a,1130,n9000-13.2(1m),aliv,FDO24200HFT,aleaf-cgk-hsn-a13-0,N9K-C93108TC-FX
cgk-hsn-a,1131,n9000-13.2(1m),aliv,FDO240307BS,aleaf-cgk-hsn-a13-1,N9K-C93108TC-FX
cgk-hfm-b,201,n9000-13.0(1k),asiv,FGE21141TMB,spine-cgk-hfm-b1,N9K-SUP-A
cgk-hfm-b,202,n9000-13.0(1k),asiv,FGE21151W82,spine-cgk-hfm-b2,N9K-SUP-A
cgk-hfm-b,203,n9000-13.0(1k),asiv,FGE211920JR,spine-cgk-hfm-b3,N9K-SUP-A
cgk-hfm-b,301,n9000-13.0(1k),aliv,SAL1948U4X8,bleaf-cgk-hfm-b1,N9K-C9396PX
cgk-hfm-b,302,n9000-13.0(1k),aliv,SAL1951VHTT,bleaf-cgk-hfm-b2,N9K-C9396PX
cgk-hfm-b,303,n9000-13.0(1k),aliv,SAL2031U8G3,bleaf-cgk-hfm-b3,N9K-C9396PX
cgk-hfm-b,304,n9000-13.0(1k),aliv,SAL2032UBFF,bleaf-cgk-hfm-b4,N9K-C9396PX
cgk-hfm-b,1010,n9000-13.0(1k),aliv,FDO203406H6,aleaf-cgk-hfm-b01-0,N9K-C9396PX
cgk-hfm-b,1011,n9000-13.0(1k),aliv,SAL2003X5XC,aleaf-cgk-hfm-b01-1,N9K-C9396PX
cgk-hfm-b,1020,n9000-13.0(1k),aliv,SAL2004XJAP,aleaf-cgk-hfm-b02-0,N9K-C9396PX
cgk-hfm-b,1021,n9000-13.0(1k),aliv,SAL2004XJAX,aleaf-cgk-hfm-b02-1,N9K-C9396PX
cgk-hfm-b,1030,n9000-13.0(1k),aliv,SAL2004XJAZ,aleaf-cgk-hfm-b03-0,N9K-C9396PX
cgk-hfm-b,1031,n9000-13.0(1k),aliv,SAL2032UBCZ,aleaf-cgk-hfm-b03-1,N9K-C9396PX
cgk-hfm-b,1040,n9000-13.0(1k),aliv,SAL2032UBD2,aleaf-cgk-hfm-b04-0,N9K-C9396PX
cgk-hfm-b,1041,n9000-13.0(1k),aliv,SAL2032UBDA,aleaf-cgk-hfm-b04-1,N9K-C9396PX
cgk-hfm-b,1050,n9000-13.0(1k),aliv,SAL2032UBE4,aleaf-cgk-hfm-b05-0,N9K-C9396PX
cgk-hfm-b,1051,n9000-13.0(1k),aliv,SAL2032UBFU,aleaf-cgk-hfm-b05-1,N9K-C9396PX
cgk-hfm-b,1060,n9000-13.0(1k),aliv,FDO204506W5,aleaf-cgk-hfm-b06-0,N9K-C9396TX
cgk-hfm-b,1061,n9000-13.0(1k),aliv,FDO205204ZU,aleaf-cgk-hfm-b06-1,N9K-C9396TX
cgk-hfm-b,1070,n9000-13.0(1k),aliv,FDO21310M70,aleaf-cgk-hfm-b07-0,N9K-C9396TX
cgk-hfm-b,1071,n9000-13.0(1k),aliv,FDO2052102N,aleaf-cgk-hfm-b07-1,N9K-C9396TX
cgk-hfm-b,1080,n9000-13.0(1k),aliv,FDO210405AL,aleaf-cgk-hfm-b08-0,N9K-C9396TX
cgk-hfm-b,1081,n9000-13.0(1k),aliv,FDO210405AS,aleaf-cgk-hfm-b08-1,N9K-C9396TX
cgk-hfm-b,1090,n9000-13.0(1k),aliv,FDO210405BD,aleaf-cgk-hfm-b09-0,N9K-C9396TX
cgk-hfm-b,1091,n9000-13.0(1k),aliv,FDO210405BQ,aleaf-cgk-hfm-b09-1,N9K-C9396TX
cgk-hfm-b,1100,n9000-13.0(1k),aliv,FDO210405AD,aleaf-cgk-hfm-b10-0,N9K-C9396TX
cgk-hfm-b,1101,n9000-13.0(1k),aliv,FDO21060YV4,aleaf-cgk-hfm-b10-1,N9K-C9396TX
cgk-hfm-b,1110,n9000-13.0(1k),aliv,FDO21060YVF,aleaf-cgk-hfm-b11-0,N9K-C9396TX
cgk-hfm-b,1111,n9000-13.0(1k),aliv,FDO21060YX4,aleaf-cgk-hfm-b11-1,N9K-C9396TX
cgk-hfm-b,1120,n9000-13.0(1k),aliv,FDO213903X3,aleaf-cgk-hfm-b12-0,N9K-C9396TX
cgk-hfm-b,1121,n9000-13.0(1k),aliv,FDO21111PA2,aleaf-cgk-hfm-b12-1,N9K-C9396TX
cgk-hfm-b,1130,n9000-13.0(1k),aliv,FDO21111PA6,aleaf-cgk-hfm-b13-0,N9K-C9396TX
cgk-hfm-b,1131,n9000-13.0(1k),aliv,FDO21111PAB,aleaf-cgk-hfm-b13-1,N9K-C9396TX
cgk-hfm-b,1140,n9000-13.0(1k),aliv,FDO21060YX6,aleaf-cgk-hfm-b14-0,N9K-C9396TX
cgk-hfm-b,1141,n9000-13.0(1k),aliv,FDO21111PB9,aleaf-cgk-hfm-b14-1,N9K-C9396TX
cgk-hfm-b,1150,n9000-13.0(1k),aliv,FDO21111PBL,aleaf-cgk-hfm-b15-0,N9K-C9396TX
cgk-hfm-b,1151,n9000-13.0(1k),aliv,FDO21111PBT,aleaf-cgk-hfm-b15-1,N9K-C9396TX
cgk-hfm-b,1160,n9000-13.0(1k),aliv,FDO21111PC5,aleaf-cgk-hfm-b16-0,N9K-C9396TX
cgk-hfm-b,1161,n9000-13.0(1k),aliv,FDO21111PBN,aleaf-cgk-hfm-b16-1,N9K-C9396TX
cgk-hfm-b,1170,n9000-13.0(1k),aliv,FDO21111PB0,aleaf-cgk-hfm-b17-0,N9K-C9396TX
cgk-hfm-b,1171,n9000-13.0(1k),aliv,FDO21111PB3,aleaf-cgk-hfm-b17-1,N9K-C9396TX
cgk-hfm-d,201,n9000-13.0(1k),asiv,FGE212022AE,spine-cgk-hfm-d1,N9K-SUP-A
cgk-hfm-d,202,n9000-13.0(1k),asiv,FGE212022AN,spine-cgk-hfm-d2,N9K-SUP-A
cgk-hfm-d,203,n9000-13.0(1k),asiv,FGE2120246T,spine-cgk-hfm-d3,N9K-SUP-A
cgk-hfm-d,301,n9000-13.0(1k),aliv,FDO2122268W,bleaf-cgk-hfm-d1,N9K-C9396PX
cgk-hfm-d,302,n9000-13.0(1k),aliv,FDO21240VP6,bleaf-cgk-hfm-d2,N9K-C9396PX
cgk-hfm-d,303,n9000-13.0(1k),aliv,FDO21272SPZ,bleaf-cgk-hfm-d3,N9K-C9396PX
cgk-hfm-d,304,n9000-13.0(1k),aliv,FDO21272SQN,bleaf-cgk-hfm-d4,N9K-C9396PX
cgk-hfm-d,1010,n9000-13.0(1k),aliv,FDO21272SQT,aleaf-cgk-hfm-d01-0,N9K-C9396PX
cgk-hfm-d,1011,n9000-13.0(1k),aliv,FDO21272SS4,aleaf-cgk-hfm-d01-1,N9K-C9396PX
cgk-hfm-d,1020,n9000-13.0(1k),aliv,FDO21272SS5,aleaf-cgk-hfm-d02-0,N9K-C9396PX
cgk-hfm-d,1021,n9000-13.0(1k),aliv,FDO21272SZB,aleaf-cgk-hfm-d02-1,N9K-C9396PX
cgk-hfm-d,1030,n9000-13.0(1k),aliv,FDO21272T0V,aleaf-cgk-hfm-d03-0,N9K-C9396PX
cgk-hfm-d,1031,n9000-13.0(1k),aliv,FDO21272TA2,aleaf-cgk-hfm-d03-1,N9K-C9396PX
cgk-hfm-d,1040,n9000-13.0(1k),aliv,FDO21272TB1,aleaf-cgk-hfm-d04-0,N9K-C9396PX
cgk-hfm-d,1041,n9000-13.0(1k),aliv,SAL2023REEX,aleaf-cgk-hfm-d04-1,N9K-C9396PX
cgk-hfm-d,1050,n9000-13.0(1k),aliv,SAL2026SGPE,aleaf-cgk-hfm-d05-0,N9K-C9396PX
cgk-hfm-d,1051,n9000-13.0(1k),aliv,SAL2037UZEA,aleaf-cgk-hfm-d05-1,N9K-C9396PX
cgk-hfm-d,1060,n9000-13.0(1k),aliv,FDO21111PAP,aleaf-cgk-hfm-d06-0,N9K-C9396TX
cgk-hfm-d,1061,n9000-13.0(1k),aliv,FDO21111PB5,aleaf-cgk-hfm-d06-1,N9K-C9396TX
cgk-hfm-d,1070,n9000-13.0(1k),aliv,FDO21231TN7,aleaf-cgk-hfm-d07-0,N9K-C9396TX
cgk-hfm-d,1071,n9000-13.0(1k),aliv,FDO21231TNJ,aleaf-cgk-hfm-d07-1,N9K-C9396TX
cgk-hfm-d,1080,n9000-13.0(1k),aliv,FDO21231TNT,aleaf-cgk-hfm-d08-0,N9K-C9396TX
cgk-hfm-d,1081,n9000-13.0(1k),aliv,FDO21231TNW,aleaf-cgk-hfm-d08-1,N9K-C9396TX
cgk-hfm-d,1090,n9000-13.0(1k),aliv,FDO21231TP0,aleaf-cgk-hfm-d09-0,N9K-C9396TX
cgk-hfm-d,1091,n9000-13.0(1k),aliv,FDO21231TNZ,aleaf-cgk-hfm-d09-1,N9K-C9396TX
cgk-hfm-d,1100,n9000-13.0(1k),aliv,FDO21231TPJ,aleaf-cgk-hfm-d10-0,N9K-C9396TX
cgk-hfm-d,1101,n9000-13.0(1k),aliv,FDO21231TPL,aleaf-cgk-hfm-d10-1,N9K-C9396TX
cgk-hfm-d,1110,n9000-13.0(1k),aliv,FDO21231TPP,aleaf-cgk-hfm-d11-0,N9K-C9396TX
cgk-hfm-d,1111,n9000-13.0(1k),aliv,FDO21231TPU,aleaf-cgk-hfm-d11-1,N9K-C9396TX
cgk-hfm-d,1120,n9000-13.0(1k),aliv,FDO21231TTB,aleaf-cgk-hfm-d12-0,N9K-C9396TX
cgk-hfm-d,1121,n9000-13.0(1k),aliv,FDO21231TTK,aleaf-cgk-hfm-d12-1,N9K-C9396TX
cgk-hfm-d,1130,n9000-13.0(1k),aliv,FDO21231TTN,aleaf-cgk-hfm-d13-0,N9K-C9396TX
cgk-hfm-d,1131,n9000-13.0(1k),aliv,FDO21231TTS,aleaf-cgk-hfm-d13-1,N9K-C9396TX
cgk-hfm-d,1140,n9000-13.0(1k),aliv,FDO21231TTV,aleaf-cgk-hfm-d14-0,N9K-C9396TX
cgk-hfm-d,1141,n9000-13.0(1k),aliv,FDO21231TTX,aleaf-cgk-hfm-d14-1,N9K-C9396TX
cgk-hfm-d,1150,n9000-13.0(1k),aliv,FDO21231TU0,aleaf-cgk-hfm-d15-0,N9K-C9396TX
cgk-hfm-d,1151,n9000-13.0(1k),aliv,FDO21231TUE,aleaf-cgk-hfm-d15-1,N9K-C9396TX
cgk-hfm-d,1160,n9000-13.0(1k),aliv,FDO21231TUT,aleaf-cgk-hfm-d16-0,N9K-C9396TX
cgk-hfm-d,1161,n9000-13.0(1k),aliv,FDO21231TUV,aleaf-cgk-hfm-d16-1,N9K-C9396TX
cgk-hfm-d,1170,n9000-13.0(1k),aliv,FDO21231TV6,aleaf-cgk-hfm-d17-0,N9K-C9396TX
cgk-hfm-d,1171,n9000-13.0(1k),aliv,FDO21231TV3,aleaf-cgk-hfm-d17-1,N9K-C9396TX
cgk-hfm-e,201,n9000-13.0(1k),asiv,FGE21452TRQ,spine-cgk-hfm-e1,N9K-SUP-A
cgk-hfm-e,202,n9000-13.0(1k),asiv,FGE21462VKN,spine-cgk-hfm-e2,N9K-SUP-A
cgk-hfm-e,203,n9000-13.0(1k),asiv,FGE21462VLJ,spine-cgk-hfm-e3,N9K-SUP-A
cgk-hfm-e,301,n9000-13.0(1k),aliv,FDO21331ZYF,bleaf-cgk-hfm-e1,N9K-C9396PX
cgk-hfm-e,302,n9000-13.0(1k),aliv,FDO21481813,bleaf-cgk-hfm-e2,N9K-C9396PX
cgk-hfm-e,303,n9000-13.0(1k),aliv,FDO21481817,bleaf-cgk-hfm-e3,N9K-C9396PX
cgk-hfm-e,304,n9000-13.0(1k),aliv,FDO21481870,bleaf-cgk-hfm-e4,N9K-C9396PX
cgk-hfm-e,1010,n9000-13.0(1k),aliv,FDO21331ZT9,aleaf-cgk-hfm-e01-0,N9K-C9396PX
cgk-hfm-e,1011,n9000-13.0(1k),aliv,FDO21331ZWC,aleaf-cgk-hfm-e01-1,N9K-C9396PX
cgk-hfm-e,1020,n9000-13.0(1k),aliv,FDO21331ZXA,aleaf-cgk-hfm-e02-0,N9K-C9396PX
cgk-hfm-e,1021,n9000-13.0(1k),aliv,FDO21331ZXP,aleaf-cgk-hfm-e02-1,N9K-C9396PX
cgk-hfm-e,1030,n9000-13.0(1k),aliv,FDO21331ZY2,aleaf-cgk-hfm-e03-0,N9K-C9396PX
cgk-hfm-e,1031,n9000-13.0(1k),aliv,FDO21331ZY7,aleaf-cgk-hfm-e03-1,N9K-C9396PX
cgk-hfm-e,1040,n9000-13.0(1k),aliv,FDO2145129G,aleaf-cgk-hfm-e04-0,N9K-C9396PX
cgk-hfm-e,1041,n9000-13.0(1k),aliv,FDO21481818,aleaf-cgk-hfm-e04-1,N9K-C9396PX
cgk-hfm-e,1050,n9000-13.0(1k),aliv,FDO21481874,aleaf-cgk-hfm-e05-0,N9K-C9396PX
cgk-hfm-e,1051,n9000-13.0(1k),aliv,FDO21481884,aleaf-cgk-hfm-e05-1,N9K-C9396PX
cgk-hfm-e,1060,n9000-13.0(1k),aliv,FDO21111PC3,aleaf-cgk-hfm-e06-0,N9K-C9396TX
cgk-hfm-e,1061,n9000-13.0(1k),aliv,FDO213626HF,aleaf-cgk-hfm-e06-1,N9K-C9396TX
cgk-hfm-e,1070,n9000-13.0(1k),aliv,FDO21390096,aleaf-cgk-hfm-e07-0,N9K-C9396TX
cgk-hfm-e,1071,n9000-13.0(1k),aliv,SAL1838182U,aleaf-cgk-hfm-e07-1,N9K-C9396TX
cgk-hfm-e,1080,n9000-13.0(1k),aliv,FDO213903H0,aleaf-cgk-hfm-e08-0,N9K-C9396TX
cgk-hfm-e,1081,n9000-13.0(1k),aliv,FDO213903H2,aleaf-cgk-hfm-e08-1,N9K-C9396TX
cgk-hfm-e,1090,n9000-13.0(1k),aliv,FDO213903WS,aleaf-cgk-hfm-e09-0,N9K-C9396TX
cgk-hfm-e,1091,n9000-13.0(1k),aliv,FDO21390410,aleaf-cgk-hfm-e09-1,N9K-C9396TX
cgk-hfm-e,1100,n9000-13.0(1k),aliv,FDO213626J0,aleaf-cgk-hfm-e10-0,N9K-C9396TX
cgk-hfm-e,1101,n9000-13.0(1k),aliv,FDO21430DZ4,aleaf-cgk-hfm-e10-1,N9K-C9396TX
cgk-hfm-e,1110,n9000-13.0(1k),aliv,SAL18453XAJ,aleaf-cgk-hfm-e11-0,N9K-C9396TX
cgk-hfm-e,1111,n9000-13.0(1k),aliv,FDO212120WQ,aleaf-cgk-hfm-e11-1,N9K-C9396TX
cgk-hfm-e,1120,n9000-13.0(1k),aliv,FDO214810S2,aleaf-cgk-hfm-e12-0,N9K-C9396TX
cgk-hfm-e,1121,n9000-13.0(1k),aliv,FDO21491EAV,aleaf-cgk-hfm-e12-1,N9K-C9396TX
cgk-hfm-e,1130,n9000-13.0(1k),aliv,FDO21491EBL,aleaf-cgk-hfm-e13-0,N9K-C9396TX
cgk-hfm-e,1131,n9000-13.0(1k),aliv,FDO21491EBS,aleaf-cgk-hfm-e13-1,N9K-C9396TX
cgk-hfm-e,1140,n9000-13.0(1k),aliv,FDO21491EC0,aleaf-cgk-hfm-e14-0,N9K-C9396TX
cgk-hfm-e,1141,n9000-13.0(1k),aliv,FDO21491EC5,aleaf-cgk-hfm-e14-1,N9K-C9396TX
cgk-hfm-e,1150,n9000-13.0(1k),aliv,FDO21491ECF,aleaf-cgk-hfm-e15-0,N9K-C9396TX
cgk-hfm-e,1151,n9000-13.0(1k),aliv,FDO21491ECK,aleaf-cgk-hfm-e15-1,N9K-C9396TX
cgk-hfm-e,1160,n9000-13.0(1k),aliv,SAL184851JL,aleaf-cgk-hfm-e16-0,N9K-C9396TX
cgk-hfm-e,1161,n9000-13.0(1k),aliv,FDO21491ECW,aleaf-cgk-hfm-e16-1,N9K-C9396TX
cgk-hfm-e,1170,n9000-13.0(1k),aliv,FDO21491ED1,aleaf-cgk-hfm-e17-0,N9K-C9396TX
cgk-hfm-e,1171,n9000-13.0(1k),aliv,FDO21491ED5,aleaf-cgk-hfm-e17-1,N9K-C9396TX
cgk-hfm-f,201,n9000-13.2(1m),asiv,FGE22515AQD,spine-cgk-hfm-f1,N9K-SUP-A+
cgk-hfm-f,202,n9000-13.2(1m),asiv,FGE22515ARV,spine-cgk-hfm-f2,N9K-SUP-A+
cgk-hfm-f,203,n9000-13.2(1m),asiv,FGE22515AS0,spine-cgk-hfm-f3,N9K-SUP-A+
cgk-hfm-f,301,n9000-13.2(1m),aliv,FDO22421MN8,bleaf-cgk-hfm-f1,N9K-C93180YC-FX
cgk-hfm-f,302,n9000-13.2(1m),aliv,FDO22421MT0,bleaf-cgk-hfm-f2,N9K-C93180YC-FX
cgk-hfm-f,303,n9000-13.2(1m),aliv,FDO224702AS,bleaf-cgk-hfm-f3,N9K-C93180YC-FX
cgk-hfm-f,304,n9000-13.2(1m),aliv,FDO22470SJD,bleaf-cgk-hfm-f4,N9K-C93180YC-FX
cgk-hfm-f,1010,n9000-13.2(1m),aliv,FDO22470SKV,aleaf-cgk-hfm-f01-0,N9K-C93180YC-FX
cgk-hfm-f,1011,n9000-13.2(1m),aliv,FDO22470SKZ,aleaf-cgk-hfm-f01-1,N9K-C93180YC-FX
cgk-hfm-f,1020,n9000-13.2(1m),aliv,FDO22470SL1,aleaf-cgk-hfm-f02-0,N9K-C93180YC-FX
cgk-hfm-f,1021,n9000-13.2(1m),aliv,FDO22470SL7,aleaf-cgk-hfm-f02-1,N9K-C93180YC-FX
cgk-hfm-f,1030,n9000-13.2(1m),aliv,FDO22470SXJ,aleaf-cgk-hfm-f03-0,N9K-C93180YC-FX
cgk-hfm-f,1031,n9000-13.2(1m),aliv,FDO22471BBZ,aleaf-cgk-hfm-f03-1,N9K-C93180YC-FX
cgk-hfm-f,1040,n9000-13.2(1m),aliv,FDO22471BC4,aleaf-cgk-hfm-f04-0,N9K-C93180YC-FX
cgk-hfm-f,1041,n9000-13.2(1m),aliv,FDO22471BT9,aleaf-cgk-hfm-f04-1,N9K-C93180YC-FX
cgk-hfm-f,1050,n9000-13.2(1m),aliv,FDO22471K2W,aleaf-cgk-hfm-f05-0,N9K-C93180YC-FX
cgk-hfm-f,1051,n9000-13.2(1m),aliv,FDO2247238S,aleaf-cgk-hfm-f05-1,N9K-C93180YC-FX
cgk-hfm-f,1060,n9000-13.2(1m),aliv,FDO22431GKP,aleaf-cgk-hfm-f06-0,N9K-C93108TC-FX
cgk-hfm-f,1061,n9000-13.2(1m),aliv,FDO22442SLC,aleaf-cgk-hfm-f06-1,N9K-C93108TC-FX
cgk-hfm-f,1070,n9000-13.2(1m),aliv,FDO22442T6X,aleaf-cgk-hfm-f07-0,N9K-C93108TC-FX
cgk-hfm-f,1071,n9000-13.2(1m),aliv,FDO22442TXN,aleaf-cgk-hfm-f07-1,N9K-C93108TC-FX
cgk-hfm-f,1080,n9000-13.2(1m),aliv,FDO22442VC6,aleaf-cgk-hfm-f08-0,N9K-C93108TC-FX
cgk-hfm-f,1081,n9000-13.2(1m),aliv,FDO22442VES,aleaf-cgk-hfm-f08-1,N9K-C93108TC-FX
cgk-hfm-f,1090,n9000-13.2(1m),aliv,FDO22442VH8,aleaf-cgk-hfm-f09-0,N9K-C93108TC-FX
cgk-hfm-f,1091,n9000-13.2(1m),aliv,FDO224604MA,aleaf-cgk-hfm-f09-1,N9K-C93108TC-FX
cgk-hfm-f,1100,n9000-13.2(1m),aliv,FDO224604QY,aleaf-cgk-hfm-f10-0,N9K-C93108TC-FX
cgk-hfm-f,1101,n9000-13.2(1m),aliv,FDO224604SX,aleaf-cgk-hfm-f10-1,N9K-C93108TC-FX
cgk-hfm-f,1110,n9000-13.2(1m),aliv,FDO224604UF,aleaf-cgk-hfm-f11-0,N9K-C93108TC-FX
cgk-hfm-f,1111,n9000-13.2(1m),aliv,FDO224801FL,aleaf-cgk-hfm-f11-1,N9K-C93108TC-FX
cgk-hfm-f,1120,n9000-13.2(1m),aliv,FDO224801P4,aleaf-cgk-hfm-f12-0,N9K-C93108TC-FX
cgk-hfm-f,1121,n9000-13.2(1m),aliv,FDO224801S5,aleaf-cgk-hfm-f12-1,N9K-C93108TC-FX
cgk-hfm-f,1130,n9000-13.2(1m),aliv,FDO224801S9,aleaf-cgk-hfm-f13-0,N9K-C93108TC-FX
